LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.1004011,40.8138949,713,N MAIN STREET,,BURLINGTON,,,,234,3c57819a8fdf54eb
-91.1031041,40.815167,800,N 5TH STREET,,BURLINGTON,,,,235,fe4181e12d0db32d
-91.1029203,40.8158236,826,N 5TH STREET,,BURLINGTON,,,,236,91e75e269ff569fa
-91.1029193,40.815974,832,N 5TH STREET,,BURLINGTON,,,,237,1b5b264d0b5c8885
-91.1296598,40.8355876,2637,NORTHWOOD AVENUE,,BURLINGTON,,,,238,e4c0a051ea55ae47
-91.0983793,40.7907309,1900,S MAIN STREET,,BURLINGTON,,,,239,7c11926089fffdd0
-91.1519375,40.8132554,3501,AGENCY STREET,,BURLINGTON,,,,240,58492a26b9e46e2d
-91.1147807,40.8185977,1220,MT PLEASANT STREET,,BURLINGTON,,,,241,96af419fcc3d9a4f
-91.1128588,40.8165423,911,OSBORN STREET,,BURLINGTON,,,,242,9e71ff47d73becbe
-91.0972047,40.7925186,1700,ORCHARD STREET,,BURLINGTON,,,,243,f64b32ee7d33d40b
-91.1115127,40.8058606,258,S 10TH STREET,,BURLINGTON,,,,244,7ab0255411072822
-91.1154205,40.8178621,1340,MT. PLEASANT STREET,,BURLINGTON,,,,245,5d07e2dc6c810608
-91.1132067,40.8182494,1015,OSBORN STREET,,BURLINGTON,,,,246,65ec5ba0ad881cb1
-91.1152792,40.818816,1109,RHEIN STREET,,BURLINGTON,,,,247,81a0d94defaa2874
-91.1147759,40.8192442,1120,RHEIN STREET,,BURLINGTON,,,,248,abeb86e778871e14
-91.1148405,40.8188715,1110,RHEIN STREET,,BURLINGTON,,,,249,b7ea387b151a766c
-91.1155224,40.8066174,1300,AETNA STREET,,BURLINGTON,,,,250,c7415ef4a88140bc
-91.098393,40.7900208,1926,S MAIN STREET,,BURLINGTON,,,,251,709ff05db4b68513
-91.1309521,40.8086947,2424,DIVISION STREET,,BURLINGTON,,,,252,9b9081e1631352a2
-91.1629904,40.7992658,924,MONTICELLO DRIVE,,BURLINGTON,,,,253,d877990c8118e829
-91.1583294,40.7997234,4536,WEST AVENUE,,BURLINGTON,,,,254,0e3c506d2e11f875
-91.157748,40.7932806,11812,AUGUSTA ROAD,,BURLINGTON,,,,255,783727ac0bfa59ff
-91.1574523,40.7933784,11814,AUGUSTA ROAD,,BURLINGTON,,,,256,10da41d31a3589ef
-91.1708143,40.8014176,1401,S GEAR AVENUE,,BURLINGTON,,,,257,da26748dba339186
-91.170989,40.7974406,1497,S GEAR AVENUE,,BURLINGTON,,,,258,87efacbe088dec14
-91.1165771,40.7878066,2019,SUMMER STREET,,BURLINGTON,,,,259,9b96ecc9a3137580
-91.1152062,40.7933094,1410,SUMMER STREET,,BURLINGTON,,,,260,4e3035c76ddea825
-91.1107312,40.7896824,1816,S 12TH STREET,,BURLINGTON,,,,261,e439286927014a68
-91.1418716,40.8306376,2013,N ROOSEVELT AVENUE,,BURLINGTON,,,,262,f1591e1ec2a6128e
